Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
81,2005,NBA,1,3,UTA,Deron Williams\willide01,21.007,G,us,Illinois,2006,2017,845,34.2,16.3,3.1,8.1,1.0,0.2,.445,.482,.357,.822,77.3,.129
82,1999,NBA,1,4,LAC,Lamar Odom\odomla01,19.241,F,us,Rhode Island,2000,2013,961,33.4,13.3,8.4,3.7,0.9,0.9,.463,.502,.312,.693,77.0,.115
83,2005,NBA,1,30,NYK,David Lee\leeda02,22.066,F,us,Florida,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,.535,.537,.034,.772,76.0,.150
84,2001,NBA,1,6,MEM,Shane Battier\battish01,22.297,F,us,Duke,2002,2014,977,30.7,8.6,4.2,1.8,1.0,0.9,.437,.486,.384,.743,75.7,.121
85,1999,NBA,1,24,UTA,Andrei Kirilenko\kirilan01,18.136,F,ru,,2002,2015,797,30.0,11.8,5.5,2.7,1.4,1.8,.474,.510,.310,.754,75.4,.151
86,2009,NBA,1,1,LAC,Blake Griffin\griffbl01,20.106,F,us,Oklahoma,2011,2019,604,35.0,21.9,9.0,4.5,0.9,0.5,.502,.522,.342,.692,75.3,.171
87,2004,NBA,1,7,PHO,Luol Deng\denglu01,19.074,F,ss,Duke,2005,2019,902,34.3,14.8,6.1,2.3,1.0,0.5,.456,.482,.332,.769,74.0,.115
88,2002,NBA,1,7,NYK,Nenê Hilário\hilarne01,19.291,F-C,br,,2003,2019,965,26.2,11.3,6.0,1.8,1.1,0.7,.548,.551,.132,.660,73.3,.139
89,1998,NBA,1,2,VAN,Mike Bibby\bibbymi01,20.047,G,us,Arizona,1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,.436,.463,.379,.802,73.2,.104
90,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,Kentucky,2013,2019,466,34.6,23.7,10.5,2.1,1.4,2.4,.517,.533,.314,.795,72.0,.214
91,1989,NBA,1,12,NJN,Mookie Blaylock\blaylmo01,22.105,G,us,Oklahoma,1990,2002,889,34.9,13.5,4.1,6.7,2.3,0.3,.409,.445,.336,.736,71.8,.111
92,2007,NBA,1,4,MEM,Mike Conley\conlemi01,19.265,G,us,Ohio State,2008,2019,788,32.6,14.9,3.0,5.7,1.5,0.2,.441,.470,.375,.819,71.4,.133
93,1996,NBA,1,3,VAN,Shareef Abdur-Rahim\abdursh01,19.202,F,us,Cal,1997,2008,830,34.8,18.1,7.5,2.5,1.0,0.8,.472,.480,.297,.810,71.2,.118
94,1986,NBA,2,25,DAL,Mark Price\pricema01,22.128,G,us,Georgia Tech,1987,1998,722,29.9,15.2,2.6,6.7,1.2,0.1,.472,.501,.402,.904,71.1,.158
95,2004,NBA,1,15,BOS,Al Jefferson\jeffeal01,19.176,C-F,us,,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,.499,.501,.121,.711,71.0,.130
96,2003,NBA,2,51,NJN,Kyle Korver\korveky01,22.106,G-F,us,Creighton,2004,2019,1174,25.7,9.9,3.0,1.7,0.7,0.3,.443,.464,.429,.878,70.9,.113
97,1995,NBA,1,15,DEN,Brent Barry\barrybr01,23.185,G,us,Oregon State,1996,2009,912,25.9,9.3,3.0,3.2,1.0,0.3,.460,.525,.405,.823,70.5,.143
98,2012,NBA,1,6,POR,Damian Lillard\lillada01,21.354,G,us,Weber State,2013,2019,549,36.3,23.5,4.2,6.3,1.0,0.3,.434,.480,.368,.889,70.3,.169
99,1995,NBA,1,2,LAC,Antonio McDyess\mcdyean01,20.299,F-C,us,Alabama,1996,2011,1015,27.6,12.0,7.5,1.3,0.8,1.1,.497,.499,.117,.670,69.8,.119
100,1991,NBA,1,1,CHH,Larry Johnson\johnsla02,22.109,F,us,UNLV,1992,2001,707,36.3,16.2,7.5,3.3,0.7,0.4,.484,.505,.332,.766,69.7,.130
101,1992,NBA,1,11,HOU,Robert Horry\horryro01,21.309,F,us,Alabama,1993,2008,1107,24.5,7.0,4.8,2.1,1.0,0.9,.425,.469,.341,.726,66.3,.118
102,1996,NBA,1,20,CLE,Zydrunas Ilgauskas\ilgauzy01,21.027,C,lt,,1998,2011,843,27.2,13.0,7.3,1.1,0.5,1.6,.476,.478,.310,.780,66.3,.139
103,2011,NBA,1,30,CHI,Jimmy Butler\butleji01,21.287,F-G,us,Marquette,2012,2019,523,32.9,16.7,4.9,3.5,1.6,0.5,.454,.486,.341,.835,66.1,.184
104,1996,NBA,1,17,POR,Jermaine O'Neal\onealje01,17.261,F-C,us,,1997,2014,1011,27.1,13.2,7.2,1.4,0.5,1.8,.467,.469,.147,.715,66.0,.116
105,1991,NBA,1,11,CLE,Terrell Brandon\brandte01,21.042,G,us,Oregon,1992,2002,724,29.8,13.8,3.0,6.1,1.6,0.3,.448,.462,.355,.873,65.9,.147
106,2002,NBA,1,1,HOU,Yao Ming\mingya01,21.292,C,cn,,2003,2011,486,32.5,19.0,9.2,1.6,0.4,1.9,.524,.525,.200,.833,65.9,.200
107,1986,NBA,1,8,CLE,Ron Harper\harpero01,22.154,G-F,us,Miami University,1987,2001,1009,30.9,13.8,4.3,3.9,1.7,0.7,.446,.474,.289,.720,65.8,.101
